Species,Trait
Actinoschoenus_thouarsii,C3
Actinoscirpus_grossus,C3
Amphiscirpus_nevadensis,C3
Becquerelia_cymosa,C3
Bisboeckelera_microcephala,C3
Blysmopsis_rufus,C3
Blysmus_compressus,C3
Bolboschoenus_fluviatilis,C3
Bolboschoenus_glaucus,C3
Bolboschoenus_maritimus,C3
Bolboschoenus_nobilis,C3
Bolboschoenus_planiculmis,C3
Bolboschoenus_robustus,C3
Bolboschoenus_yagara,C3
Bulbostylis_atrosanguinea,C4
Bulbostylis_barbata,C4
Bulbostylis_burchellii,C4
Bulbostylis_capillaris,C4
Bulbostylis_ciliatifolia,C4
Bulbostylis_densa,C4
Bulbostylis_funckii,C4
Bulbostylis_hispidula,C4
Bulbostylis_juncoides,C4
Bulbostylis_scabricaulis,C4
Bulbostylis_spadicea,C4
Bulbostylis_stenophylla,C4
Bulbostylis_warei,C4
Calliscirpus_criniger,C3
Calyptrocarya_glomerulata,C3
Capeobolus_brevicaulis,C3
Carex_abrupta,C3
Carex_abscondita,C3
Carex_acaulis,C3
Carex_acidicola,C3
Carex_acuta,C3
Carex_acutiformis,C3
Carex_adelostoma,C3
Carex_adusta,C3
Carex_aestivalis,C3
Carex_aethiopica,C3
Carex_aggregata,C3
Carex_alata,C3
Carex_alatauensis,C3
Carex_alba,C3
Carex_albata,C3
Carex_albicans,C3
Carex_albolutescens,C3
Carex_albonigra,C3
Carex_albursina,C3
Carex_alopecoidea,C3
Carex_alopecuroides,C3
Carex_amphibola,C3
Carex_andringitrensis,C3
Carex_angolensis,C3
Carex_angustata,C3
Carex_annectens,C3
Carex_anthoxanthea,C3
Carex_aperta,C3
Carex_appalachica,C3
Carex_appendiculata,C3
Carex_appressa,C3
Carex_appropinquata,C3
Carex_aquatilis,C3
Carex_arcta,C3
Carex_arctata,C3
Carex_arctiformis,C3
Carex_arenaria,C3
Carex_argyrantha,C3
Carex_arnellii,C3
Carex_assiniboinensis,C3
Carex_astricta,C3
Carex_asturica,C3
Carex_asynchrona,C3
Carex_aterrima_subsp_medwedewii,C3
Carex_atherodes,C3
Carex_athrostachya,C3
Carex_atlantica,C3
Carex_atrata,C3
Carex_atratiformis,C3
Carex_atrofusca,C3
Carex_aucklandica,C3
Carex_augustinowiczii,C3
Carex_aurea,C3
Carex_austroalpina,C3
Carex_austrocaroliniana,C3
Carex_austrocompacta,C3
Carex_baccans,C3
Carex_backii,C3
Carex_badilloi,C3
Carex_baldensis,C3
Carex_banksiana,C3
Carex_basutorum,C3
Carex_bathiei,C3
Carex_bebbii,C3
Carex_bella,C3
Carex_bequaertii_subsp_bequaertii,C3
Carex_bequaertii_subsp_mossii,C3
Carex_bicknellii,C3
Carex_bicolor,C3
Carex_bigelowii,C3
Carex_binervis,C3
Carex_blanda,C3
Carex_blepharicarpa,C3
Carex_bohemica,C3
Carex_bolanderi,C3
Carex_boliviensis,C3
Carex_bonanzensis,C3
Carex_bonariensis,C3
Carex_bonatiana,C3
Carex_borbonica,C3
Carex_borealipolaris,C3
Carex_boryana,C3
Carex_bostrychostigma,C3
Carex_brevicaulis,C3
Carex_brevicollis,C3
Carex_breviculmis_var_fibrillosa,C3
Carex_brevior,C3
Carex_breweri,C3
Carex_brizoides,C3
Carex_bromoides,C3
Carex_brunnea,C3
Carex_brunnescens,C3
Carex_brunnescens_subsp_sphaerostachya,C3
Carex_brysonii,C3
Carex_buekii,C3
Carex_bulbostylis,C3
Carex_burchelliana,C3
Carex_burkei,C3
Carex_bushii,C3
Carex_buxbaumii,C3
Carex_calcifugens,C3
Carex_calcis,C3
Carex_camposii,C3
Carex_canariensis,C3
Carex_canescens,C3
Carex_capensis,C3
Carex_capillaris,C3
Carex_capitata,C3
Carex_capricornis,C3
Carex_careyana,C3
Carex_caroliniana,C3
Carex_caryophyllea,C3
Carex_castanea,C3
Carex_castroviejoi,C3
Carex_caucasica,C3
Carex_caudata,C3
Carex_cephaloidea,C3
Carex_cephalophora,C3
Carex_cercostachys,C3
Carex_cespitosa,C3
Carex_chlorosaccus,C3
Carex_chordorrhiza,C3
Carex_clavata,C3
Carex_cognata,C3
Carex_colchica,C3
Carex_communis,C3
Carex_comosa,C3
Carex_conferta,C3
Carex_conjuncta,C3
Carex_conoidea,C3
Carex_corrugata,C3
Carex_corynoidea,C3
Carex_crawei,C3
Carex_crawfordii,C3
Carex_crebriflora,C3
Carex_cretica,C3
Carex_crinita,C3
Carex_crispa,C3
Carex_cristatella,C3
Carex_cruciata,C3
Carex_cruenta,C3
Carex_crus_corvi,C3
Carex_cryptolepis,C3
Carex_cumberlandensis,C3
Carex_cumulata,C3
Carex_curaica,C3
Carex_curatorum,C3
Carex_curvula,C3
Carex_cusickii,C3
Carex_cyanea,C3
Carex_dacica,C3
Carex_davalliana,C3
Carex_davyi,C3
Carex_deasyi,C3
Carex_debilis,C3
Carex_decomposita,C3
Carex_deflexa,C3
Carex_delicata,C3
Carex_demissa,C3
Carex_densa,C3
Carex_depauperata,C3
Carex_depressa,C3
Carex_derelicta,C3
Carex_deweyana,C3
Carex_diandra,C3
Carex_digitata,C3
Carex_diluta,C3
Carex_dioica,C3
Carex_disperma,C3
Carex_distachya,C3
Carex_distans,C3
Carex_disticha,C3
Carex_disticha_subsp_lithophila,C3
Carex_distincta,C3
Carex_divisa,C3
Carex_divulsa,C3
Carex_doniana,C3
Carex_drucei,C3
Carex_durieui,C3
Carex_duriuscula,C3
Carex_ebenea,C3
Carex_eburnea,C3
Carex_echinata,C3
Carex_echinochloe,C3
Carex_echinochloe_subsp_nyasensis,C3
Carex_echinodes,C3
Carex_ecklonii,C3
Carex_edura,C3
Carex_edwardsiana,C3
Carex_egmontiana,C3
Carex_elata,C3
Carex_elatior,C3
Carex_eleusinoides,C3
Carex_elgonensis,C3
Carex_elongata,C3
Carex_emoryi,C3
Carex_erebus,C3
Carex_ericetorum,C3
Carex_erythrorrhiza,C3
Carex_erythrovaginata,C3
Carex_esenbeckii,C3
Carex_exilis,C3
Carex_extensa,C3
Carex_fedia,C3
Carex_ferruginea,C3
Carex_festucacea,C3
Carex_feta,C3
Carex_filicina,C3
Carex_filifolia,C3
Carex_filipes,C3
Carex_fimbriata,C3
Carex_firma,C3
Carex_fischeri,C3
Carex_fissirostris,C3
Carex_flacca,C3
Carex_flaccosperma,C3
Carex_flava,C3
Carex_foenea,C3
Carex_foetida,C3
Carex_folliculata,C3
Carex_formosa,C3
Carex_forsteri,C3
Carex_fracta,C3
Carex_frankii,C3
Carex_frigida,C3
Carex_fritschii,C3
Carex_fuliginosa,C3
